state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_today_no,hospital_onset_covid,hospital_onset_covid_coverage,inpatient_beds,inpatient_beds_used_covid,inpatient_beds_used_covid_coverage,inpatient_beds_utilization,inpatient_beds_utilization_coverage,inpatient_beds_utilization_numerator,inpatient_beds_utilization_denominator,percent_of_inpatients_with_covid,percent_of_inpatients_with_covid_coverage,percent_of_inpatients_with_covid_numerator,percent_of_inpatients_with_covid_denominator,inpatient_bed_covid_utilization,inpatient_bed_covid_utilization_coverage,inpatient_bed_covid_utilization_numerator,inpatient_bed_covid_utilization_denominator,deaths_covid,deaths_covid_coverage,start_date
NE,9/27/2020,11,78,1,88,4876,258,92,0.620795734,92,3027,4876,0.074869414,92,258,3446,0.04295246,91,206,4796,3,86,12/31/2019
HI,3/10/2021,1,25,1,26,2648,37,26,0.688821752,26,1824,2648,0.020285088,26,37,1824,0.01397281,26,37,2648,0,26,12/31/2019
NE,7/8/2021,10,89,0,100,4694,69,100,0.662547934,101,3110,4694,0.022541653,100,69,3061,0.014941533,100,69,4618,2,100,12/31/2019
NV,2/13/2020,0,0,0,1,85,0,1,0.341176471,1,29,85,0,1,0,29,0,1,0,85,0,1,12/31/2019
ND,1/30/2021,15,33,30,49,2390,110,49,0.653556485,50,1562,2390,0.071105365,49,110,1547,0.046531303,49,110,2364,0,49,12/31/2019
CA,5/28/2021,55,317,23,405,63520,1376,405,0.763853904,413,48520,63520,0.028720518,405,1376,47910,0.021949274,405,1376,62690,14,405,12/31/2019
WV,6/19/2021,11,47,2,58,5939,114,58,0.738844923,62,4388,5939,0.026352288,58,114,4326,0.019846797,58,114,5744,2,58,12/31/2019
CT,3/19/2021,4,35,19,39,8430,480,39,0.79430605,40,6696,8430,0.072387272,39,480,6631,0.057574667,39,480,8337,3,39,12/31/2019
NM,9/25/2020,12,37,1,49,3644,106,50,0.647091109,51,2358,3644,0.046066927,50,106,2301,0.0299689,50,106,3537,1,50,12/31/2019
WY,2/19/2021,2,27,4,29,1732,41,29,0.450923788,31,781,1732,0.053385417,29,41,768,0.0242891,29,41,1688,0,29,12/31/2019
NM,9/23/2020,15,34,1,49,3639,109,50,0.658946788,50,2390,3627,0.046781116,49,109,2330,0.030860702,50,109,3532,1,50,12/31/2019
NE,2/15/2021,9,90,2,99,4165,190,99,0.601925391,98,2501,4155,0.07711039,97,190,2464,0.046511628,99,190,4085,1,99,12/31/2019
NE,11/1/2020,15,81,1,97,5150,641,97,0.67223301,98,3462,5150,0.187207944,97,641,3424,0.12642998,97,641,5070,9,97,12/31/2019
IA,7/25/2021,0,28,0,123,7995,211,123,0.586616635,125,4690,7995,0.045690775,123,211,4618,0.026715624,123,211,7898,1,123,12/31/2019
GA,6/17/2021,26,120,5,166,22701,614,166,0.778556011,169,17674,22701,0.035123849,166,614,17481,0.027383819,166,614,22422,6,166,12/31/2019
WI,6/2/2021,6,121,1,146,13408,229,146,0.666094869,149,8931,13408,0.026195379,146,229,8742,0.017413124,146,229,13151,2,146,12/31/2019
MD,10/10/2020,9,48,4,58,11271,761,58,0.807914116,59,9106,11271,0.084134881,58,761,9045,0.068263366,58,761,11148,6,57,12/31/2019
PA,3/6/2020,0,0,0,1,71,0,1,0.563380282,1,40,71,0,1,0,40,0,1,0,71,0,1,12/31/2019
TX,10/13/2020,105,466,87,571,68115,4938,571,0.734316964,574,50018,68115,0.099777733,571,4938,49490,0.073246422,569,4933,67348,45,571,12/31/2019
IA,2/22/2021,3,40,3,120,7931,240,120,0.581515572,122,4612,7931,0.052828527,120,240,4543,0.030655256,120,240,7829,3,120,12/31/2019
MN,10/21/2020,23,107,7,130,11656,744,130,0.700326012,131,8163,11656,0.092594897,130,744,8035,0.064785789,130,744,11484,3,130,12/31/2019
SD,3/21/2021,1,61,20,62,2832,61,62,0.486228814,65,1377,2832,0.045185185,62,61,1350,0.022061483,62,61,2765,0,62,12/31/2019
SC,5/3/2021,18,49,0,67,9279,352,67,0.735424076,69,6824,9279,0.052357578,67,352,6723,0.038626138,67,352,9113,5,67,12/31/2019
GA,6/26/2021,24,122,5,166,22612,643,166,0.747346542,169,16899,22612,0.038463839,166,643,16717,0.028801792,166,643,22325,4,166,12/31/2019
CT,9/28/2020,6,24,4,29,8169,203,31,0.707797772,30,5782,8169,0.035421392,29,203,5731,0.025117545,29,203,8082,1,29,12/31/2019
NY,10/24/2020,13,145,52,166,49258,1851,169,0.686243859,177,33803,49258,0.05519771,168,1851,33534,0.038084852,168,1851,48602,10,168,12/31/2019
DC,5/4/2021,0,12,2,12,3464,174,13,0.762702079,14,2642,3464,0.068048494,13,174,2557,0.051955808,13,174,3349,1,12,12/31/2019
IN,8/19/2021,20,145,5,166,19195,1731,166,0.693461839,168,13311,19195,0.131136364,166,1731,13200,0.090851834,166,1731,19053,10,166,12/31/2019
WA,2/3/2021,7,96,28,103,13769,777,103,0.72379984,105,9966,13769,0.078779276,103,777,9863,0.056985699,103,777,13635,12,103,12/31/2019
OR,2/14/2021,2,61,14,63,6893,315,63,0.712461918,65,4911,6893,0.065325591,63,315,4822,0.04674284,63,315,6739,2,63,12/31/2019
CT,10/6/2020,6,24,4,30,8171,259,31,0.751927549,31,6144,8171,0.042514773,30,259,6092,0.032046523,30,259,8082,2,30,12/31/2019
MN,5/17/2021,13,104,11,130,9640,515,130,0.741182573,131,7145,9640,0.073309609,130,515,7025,0.054445502,130,515,9459,3,130,12/31/2019
MI,4/15/2021,18,142,14,160,23394,4205,160,0.824271181,164,19283,23394,0.21966254,160,4205,19143,0.18132034,160,4205,23191,35,160,12/31/2019
AR,8/13/2021,20,89,8,109,9358,1427,109,0.748023082,111,7000,9358,0.204441261,109,1427,6980,0.153193773,109,1427,9315,26,109,12/31/2019
NE,8/31/2021,12,84,5,96,4037,352,96,0.717116671,97,2895,4037,0.123552124,96,352,2849,0.088486677,96,352,3978,3,96,12/31/2019
ND,8/15/2021,12,37,28,49,2390,97,49,0.716317992,50,1712,2390,0.057126031,49,97,1698,0.041032149,49,97,2364,1,49,12/31/2019
HI,6/21/2021,2,18,1,24,2475,39,24,0.691313131,24,1711,2475,0.022793688,24,39,1711,0.015757576,24,39,2475,0,24,12/31/2019
NY,4/7/2021,4,191,165,199,53755,5227,199,0.751744024,208,40410,53755,0.130371885,199,5227,40093,0.098373923,199,5227,53134,50,199,12/31/2019
HI,5/11/2021,1,19,0,24,2472,57,24,0.709546926,24,1754,2472,0.032497149,24,57,1754,0.023058252,24,57,2472,0,24,12/31/2019
MO,10/7/2020,41,93,11,136,20843,1352,136,0.67480689,139,14065,20843,0.09716832,136,1352,13914,0.06496283,135,1337,20581,10,136,12/31/2019
NC,8/31/2021,11,94,18,116,21866,3649,116,0.789764932,120,17269,21866,0.213917224,116,3649,17058,0.169044751,116,3649,21586,68,116,12/31/2019
SD,2/25/2021,2,60,19,62,2845,96,62,0.59086116,65,1681,2845,0.058217101,62,96,1649,0.034607066,62,96,2774,0,62,12/31/2019
AL,7/16/2021,26,76,5,113,15439,478,113,0.758857439,117,11716,15439,0.041281631,113,478,11579,0.031389546,113,478,15228,2,113,12/31/2019
GA,3/21/2021,29,127,17,167,22997,1366,167,0.718615472,170,16526,22997,0.083282527,167,1366,16402,0.060152362,167,1366,22709,13,167,12/31/2019
MT,4/22/2021,5,60,3,65,3158,64,65,0.652628246,66,2061,3158,0.031265266,65,64,2047,0.020453819,65,64,3129,1,65,12/31/2019
AZ,2/16/2021,25,77,27,102,15519,1900,102,0.683742509,105,10611,15519,0.182674743,102,1900,10401,0.125074057,102,1900,15191,37,102,12/31/2019
CT,3/24/2021,4,34,23,38,8408,501,38,0.810894386,39,6818,8408,0.074178265,38,501,6754,0.060216346,38,501,8320,6,38,12/31/2019
WY,6/24/2021,2,27,1,29,1721,35,29,0.506682162,31,872,1721,0.04088785,29,35,856,0.021008403,29,35,1666,1,29,12/31/2019
PR,9/25/2020,9,49,3,65,9848,393,65,0.576563769,66,5678,9848,0.070569222,65,393,5569,0.040666391,65,393,9664,7,65,12/31/2019
IN,11/6/2020,24,134,3,159,18599,2056,159,0.672616807,161,12510,18599,0.165499477,159,2056,12423,0.111424236,159,2056,18452,16,159,12/31/2019
NV,7/29/2021,0,4,30,61,8857,1140,61,0.802416168,63,7107,8857,0.163347184,61,1140,6979,0.130778938,61,1140,8717,16,61,12/31/2019
KS,4/19/2021,13,124,0,138,8298,176,138,0.536514823,141,4452,8298,0.0398641,138,176,4415,0.021432051,138,176,8212,0,138,12/31/2019
AK,9/25/2020,1,21,0,22,1574,52,25,0.640406607,24,1008,1574,0.048918156,25,52,1063,0.033036849,24,52,1574,2,25,12/31/2019
CO,3/8/2021,7,76,9,94,11083,409,94,0.647748804,96,7179,11083,0.057670615,94,409,7092,0.037266515,94,409,10975,0,94,12/31/2019
TN,5/27/2021,10,101,16,111,20187,572,111,0.701351007,132,13757,19615,0.044108575,111,572,12968,0.030969139,111,572,18470,10,111,12/31/2019
PA,8/13/2021,24,198,24,222,30925,1346,222,0.819337106,228,25338,30925,0.053612682,222,1346,25106,0.044063247,222,1346,30547,10,222,12/31/2019
ME,6/7/2021,4,24,1,35,3048,100,35,0.687992126,36,2097,3048,0.048473097,35,100,2063,0.033200531,35,100,3012,1,35,12/31/2019
MT,2/7/2020,0,0,0,1,36,0,1,0.472222222,1,17,36,0,1,0,17,0,1,0,36,0,1,12/31/2019
RI,6/20/2021,5,9,4,14,2514,76,14,0.888225935,15,2233,2514,0.034782609,14,76,2185,0.031071137,14,76,2446,1,14,12/31/2019
MN,10/2/2020,23,104,3,129,11503,505,129,0.662957489,130,7626,11503,0.067333333,129,505,7500,0.044599488,129,505,11323,5,129,12/31/2019
NJ,2/25/2021,10,77,89,95,24374,2136,95,0.720891113,96,17571,24374,0.121980469,95,2136,17511,0.087897617,95,2136,24301,27,95,12/31/2019
DE,1/16/2021,2,13,13,15,3311,485,15,0.735729387,16,2436,3311,0.201077944,15,485,2412,0.147910948,15,485,3279,2,15,12/31/2019
DC,5/9/2021,0,12,0,12,3423,170,13,0.74466842,14,2549,3423,0.068659128,13,170,2476,0.051406108,13,170,3307,1,12,12/31/2019
NJ,7/28/2021,7,84,28,95,24493,506,95,0.713877434,96,17485,24493,0.02899215,95,506,17453,0.020721569,95,506,24419,4,95,12/31/2019
DC,2/26/2021,0,12,10,13,3485,263,13,0.78651363,14,2741,3485,0.098909364,13,263,2659,0.078320429,13,263,3358,2,12,12/31/2019
SD,3/15/2021,0,60,9,60,2590,67,60,0.492277992,63,1275,2590,0.053728949,60,67,1247,0.026597856,60,67,2519,0,60,12/31/2019
TN,9/28/2020,27,97,12,125,20083,1065,126,0.664442563,131,13344,20083,0.081546708,126,1065,13060,0.054372916,125,1060,19495,14,123,12/31/2019
AR,7/21/2021,19,90,8,109,9547,863,109,0.754058867,111,7199,9547,0.120211729,109,863,7179,0.090765671,109,863,9508,9,109,12/31/2019
IN,5/5/2021,9,154,2,163,19177,978,163,0.675705272,165,12958,19177,0.076132648,163,978,12846,0.051387137,163,978,19032,6,163,12/31/2019
HI,9/8/2021,4,14,4,22,2391,444,22,0.762860728,22,1824,2391,0.243421053,22,444,1824,0.185696361,22,444,2391,7,22,12/31/2019
LA,2/14/2021,44,172,0,216,13975,774,219,0.641788909,222,8969,13975,0.087398374,219,774,8856,0.056335978,219,774,13739,9,216,12/31/2019
NV,2/14/2020,0,0,0,1,85,0,1,0.329411765,1,28,85,0,1,0,28,0,1,0,85,0,1,12/31/2019
VT,2/21/2021,2,14,1,16,1302,35,16,0.615207373,17,801,1302,0.044757033,16,35,782,0.027667984,16,35,1265,0,16,12/31/2019
CT,6/7/2021,4,29,2,33,7877,117,33,0.7340358,34,5782,7877,0.020379725,33,117,5741,0.015021184,33,117,7789,1,33,12/31/2019
CA,3/24/2021,67,291,35,412,64154,2873,411,0.75233033,420,48265,64154,0.060262192,411,2873,47675,0.045387046,411,2873,63300,45,411,12/31/2019
OR,8/8/2021,4,54,26,63,7255,691,63,0.727498277,65,5278,7255,0.13352657,63,691,5175,0.097640243,63,691,7077,9,63,12/31/2019
GA,2/1/2021,40,99,72,150,20882,4579,150,0.81170386,153,16950,20882,0.273749029,150,4579,16727,0.222584095,150,4579,20572,75,150,12/31/2019
CO,7/14/2021,6,80,3,104,11669,301,104,0.707772731,106,8259,11669,0.036828582,104,301,8173,0.026024555,104,301,11566,3,104,12/31/2019
KY,7/2/2021,1,24,1,116,14347,186,116,0.606886457,118,8707,14347,0.021640489,116,186,8595,0.013104129,116,186,14194,14,116,12/31/2019
OR,5/26/2021,5,54,11,63,7094,329,63,0.770228362,65,5464,7094,0.061495327,63,329,5350,0.047529616,63,329,6922,1,63,12/31/2019
NM,6/16/2021,12,43,2,55,4355,116,55,0.70401837,56,3066,4355,0.038731219,55,116,2995,0.027306968,55,116,4248,1,55,12/31/2019
WI,5/12/2021,12,116,1,147,13494,390,147,0.672817549,150,9079,13494,0.043835001,147,390,8897,0.029467321,147,390,13235,3,147,12/31/2019
MO,6/13/2021,22,97,14,136,16610,717,136,0.776219145,140,12893,16610,0.056297111,136,717,12736,0.043866626,136,717,16345,5,136,12/31/2019
WY,9/6/2021,10,17,0,27,1586,208,27,0.448928121,29,712,1586,0.300578035,27,208,692,0.134193548,27,208,1550,0,27,12/31/2019
IL,11/1/2020,28,163,68,193,31428,3472,194,0.637552501,197,20037,31428,0.1728223,194,3472,20090,0.109481286,192,3396,31019,31,192,12/31/2019
FL,2/3/2021,13,242,102,263,58713,6467,263,0.801440907,269,47055,58713,0.139540403,263,6467,46345,0.11205836,263,6467,57711,93,263,12/31/2019
UT,8/1/2021,1,50,0,59,6242,366,59,0.598045498,60,3733,6242,0.099160119,59,366,3691,0.059328903,59,366,6169,5,59,12/31/2019
MO,6/22/2021,24,74,4,119,15147,833,119,0.810523536,123,12277,15147,0.069082767,119,833,12058,0.056052756,119,833,14861,6,119,12/31/2019
IN,3/19/2020,0,0,0,4,331,13,4,0.456193353,4,151,331,0.086092715,4,13,151,0.039274924,4,13,331,0,4,12/31/2019
CT,2/14/2021,4,35,30,39,8405,723,39,0.748839976,40,6294,8405,0.116051364,39,723,6230,0.086972212,39,723,8313,12,39,12/31/2019
UT,2/4/2021,0,58,4,58,6219,446,58,0.607171571,59,3776,6219,0.11969941,58,446,3726,0.072768804,58,446,6129,1,58,12/31/2019
MO,2/27/2021,25,95,12,136,17398,1058,136,0.778365329,140,13542,17398,0.079221265,136,1058,13355,0.061795456,136,1058,17121,7,136,12/31/2019
MD,3/1/2021,2,46,10,52,10746,1128,52,0.753768844,53,8100,10746,0.140403286,52,1128,8034,0.10606488,52,1128,10635,6,52,12/31/2019
NH,10/18/2020,5,25,1,30,3248,50,30,0.647475369,30,2103,3248,0.023775559,30,50,2103,0.015394089,30,50,3248,0,30,12/31/2019
PR,6/15/2021,0,12,2,64,9151,77,64,0.597967435,65,5472,9151,0.014405987,64,77,5345,0.008581299,64,77,8973,1,64,12/31/2019
GA,1/31/2021,42,114,66,167,23179,4663,167,0.780749817,170,18097,23179,0.260677549,167,4663,17888,0.203909393,167,4663,22868,64,167,12/31/2019
NH,9/6/2021,5,20,0,29,2869,148,29,0.695712792,29,1996,2869,0.074148297,29,148,1996,0.051585918,29,148,2869,0,29,12/31/2019
AL,11/6/2020,31,79,3,110,15379,1213,110,0.751154171,114,11552,15379,0.106872247,109,1213,11350,0.080662322,109,1213,15038,27,110,12/31/2019
RI,8/26/2021,6,6,0,14,2430,125,14,0.895473251,15,2176,2430,0.058740602,14,125,2128,0.052609428,14,125,2376,2,14,12/31/2019
VA,7/28/2021,14,71,21,102,18156,433,102,0.741573034,105,13464,18156,0.032505067,102,433,13321,0.024199408,102,433,17893,2,102,12/31/2019
WY,10/10/2020,3,24,3,27,1567,73,27,0.477983408,29,749,1567,0.099184783,27,73,736,0.047619048,27,73,1533,0,25,12/31/2019
CO,3/15/2020,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,12/31/2019
MT,7/18/2021,5,60,0,66,3161,57,66,0.615944321,67,1947,3161,0.029472596,66,57,1934,0.018199234,66,57,3132,0,66,12/31/2019
MS,4/14/2021,11,95,0,106,8747,227,106,0.637818681,108,5579,8747,0.041056249,106,227,5529,0.026170164,106,227,8674,4,106,12/31/2019
TX,3/30/2021,106,478,88,584,70366,3603,584,0.690461302,589,48585,70366,0.07502655,584,3603,48023,0.051770961,584,3603,69595,31,584,12/31/2019
WY,7/7/2021,2,26,0,29,1723,52,29,0.48868253,31,842,1723,0.063414634,29,52,820,0.031212485,29,52,1666,1,29,12/31/2019
MD,7/19/2021,1,50,7,51,10045,274,51,0.818616227,52,8223,10045,0.033586663,51,274,8158,0.027562619,51,274,9941,1,51,12/31/2019
CT,4/3/2021,4,35,18,39,8451,569,39,0.760146728,40,6424,8451,0.089338986,39,569,6369,0.068037785,39,569,8363,7,39,12/31/2019
MS,10/10/2020,27,72,5,89,7804,875,101,0.651973347,99,5088,7804,0.17166961,100,875,5097,0.113283273,97,875,7724,7,97,12/31/2019
SD,3/1/2021,1,59,15,60,2598,90,60,0.498075443,63,1294,2598,0.071713147,60,90,1255,0.035615354,60,90,2527,0,60,12/31/2019
TN,6/21/2021,10,100,1,110,20007,276,110,0.685120395,131,13316,19436,0.022016592,110,276,12536,0.015097642,110,276,18281,2,110,12/31/2019
VA,3/17/2020,0,0,,0,171,0,2,,,,,,,,,,,,,,0,12/31/2019
WY,2/12/2021,3,26,4,29,1734,51,29,0.461937716,31,801,1734,0.064393939,29,51,792,0.030177515,29,51,1690,2,29,12/31/2019
WA,3/5/2020,0,0,0,1,317,2,1,0.779179811,1,247,317,0.008097166,1,2,247,0.006309148,1,2,317,0,1,12/31/2019
WY,2/26/2021,2,27,2,29,1736,34,29,0.42281106,31,734,1736,0.046961326,29,34,724,0.020094563,29,34,1692,0,29,12/31/2019
VT,7/28/2021,1,15,0,16,1266,6,16,0.712480253,17,902,1266,0.006857143,16,6,875,0.004885993,16,6,1228,0,16,12/31/2019
AK,5/20/2021,1,23,0,24,1662,23,24,0.652226233,24,1084,1662,0.021217712,24,23,1084,0.013838748,24,23,1662,0,24,12/31/2019
AK,1/31/2021,1,23,0,24,1663,45,24,0.550210463,24,915,1663,0.049180328,24,45,915,0.027059531,24,45,1663,0,24,12/31/2019
MD,8/21/2021,4,51,4,59,11565,822,59,0.818504107,60,9466,11565,0.087418909,59,822,9403,0.071708977,59,822,11463,5,59,12/31/2019
PR,8/5/2021,0,15,6,64,9349,252,64,0.621884694,65,5814,9349,0.044280443,64,252,5691,0.027504912,64,252,9162,3,64,12/31/2019
MD,10/20/2020,8,46,1,54,10442,804,53,0.805018196,55,8406,10442,0.096855801,53,804,8301,0.078347301,53,804,10262,8,53,12/31/2019
NC,5/15/2021,3,125,20,127,23846,846,127,0.742011239,132,17694,23846,0.048353909,127,846,17496,0.035914417,127,846,23556,17,127,12/31/2019
IN,3/7/2020,0,0,0,2,55,0,2,0.236363636,2,13,55,0,2,0,13,0,2,0,55,0,2,12/31/2019
KS,10/17/2020,28,107,3,143,8308,496,146,0.596774194,137,4958,8308,0.097657019,145,496,5079,0.057893457,134,476,8222,8,143,12/31/2019
MO,4/28/2021,22,99,17,136,17261,822,136,0.816233127,140,14089,17261,0.059247513,136,822,13874,0.048398493,136,822,16984,7,136,12/31/2019
DC,3/19/2021,0,12,4,12,3466,205,13,0.767743797,14,2661,3466,0.079673533,13,205,2573,0.06141402,13,205,3338,1,12,12/31/2019
ME,11/2/2020,6,30,0,36,3057,53,36,0.650964998,37,1990,3057,0.027013252,36,53,1962,0.017532253,36,53,3023,1,36,12/31/2019
RI,6/10/2021,4,10,6,14,2546,82,14,0.912411626,15,2323,2546,0.036012297,14,82,2277,0.032984714,14,82,2486,1,14,12/31/2019
OH,2/17/2021,15,208,41,229,32604,1921,229,0.700864925,233,22851,32604,0.084879816,229,1921,22632,0.059510533,229,1921,32280,33,229,12/31/2019
HI,5/22/2021,1,21,1,26,2654,50,26,0.711002261,26,1887,2654,0.026497085,26,50,1887,0.018839488,26,50,2654,1,26,12/31/2019
ME,3/16/2020,0,0,0,2,141,3,2,0.617021277,2,87,141,0.034482759,2,3,87,0.021276596,2,3,141,0,2,12/31/2019
NC,11/4/2020,3,123,11,126,23800,1585,126,0.756596639,130,18007,23800,0.088999944,126,1585,17809,0.067432461,126,1585,23505,20,125,12/31/2019
TX,10/26/2020,121,456,75,577,67279,6224,577,0.70366682,582,47342,67279,0.132957361,577,6224,46812,0.09360243,577,6224,66494,63,577,12/31/2019
MS,2/1/2021,12,87,2,99,8080,953,99,0.638118812,101,5156,8080,0.18675289,99,953,5103,0.119244244,99,953,7992,19,99,12/31/2019
NE,3/10/2020,0,0,0,3,44,0,3,0.022727273,3,1,44,0,3,0,1,0,3,0,44,0,3,12/31/2019
NC,7/15/2021,5,114,21,128,23799,525,128,0.771797134,132,18368,23799,0.028871535,128,525,18184,0.022313839,128,525,23528,12,128,12/31/2019
MI,5/26/2021,11,148,6,159,23007,1360,159,0.808275742,163,18596,23007,0.073664825,159,1360,18462,0.059654356,159,1360,22798,17,159,12/31/2019
NV,3/17/2021,0,3,27,60,8829,358,60,0.716162646,62,6323,8829,0.05755627,60,358,6220,0.041349041,60,358,8658,2,60,12/31/2019
CT,3/10/2021,4,35,17,39,8406,475,39,0.799310017,40,6719,8406,0.071342746,39,475,6658,0.05713942,39,475,8313,9,39,12/31/2019
VT,5/7/2021,1,15,0,16,1298,18,16,0.682588598,17,886,1298,0.020905923,16,18,861,0.014285714,16,18,1260,0,16,12/31/2019
VA,4/12/2021,15,70,29,91,17171,1042,91,0.694135461,94,11919,17171,0.088537684,91,1042,11769,0.061660453,91,1042,16899,7,91,12/31/2019
GA,1/23/2021,43,113,93,167,23371,5602,167,0.802918146,170,18765,23371,0.301750606,167,5602,18565,0.242920949,167,5602,23061,91,167,12/31/2019
WI,3/5/2021,13,117,7,147,13921,327,147,0.625170606,150,8703,13921,0.038357771,147,327,8525,0.023936754,147,327,13661,6,147,12/31/2019
OR,3/2/2021,2,54,9,61,6898,241,61,0.732241229,63,5051,6898,0.048706548,61,241,4948,0.03577791,61,241,6736,2,61,12/31/2019
NH,2/23/2021,3,24,0,28,2906,111,28,0.690984171,28,2008,2906,0.055278884,28,111,2008,0.038196834,28,111,2906,1,28,12/31/2019
UT,6/14/2021,1,51,0,52,5481,152,52,0.543878854,53,2981,5481,0.051877133,52,152,2930,0.028148148,52,152,5400,0,52,12/31/2019
LA,2/24/2021,43,172,1,215,13959,623,218,0.691811734,222,9657,13959,0.065530662,218,623,9507,0.045398237,218,623,13723,5,215,12/31/2019
DE,10/31/2020,2,13,1,15,3200,146,15,0.6875,16,2200,3200,0.06688044,15,146,2183,0.046085859,15,146,3168,1,15,12/31/2019
NC,3/31/2021,3,125,12,128,24203,1030,128,0.766599182,132,18554,24203,0.056155272,128,1030,18342,0.043058401,128,1030,23921,21,128,12/31/2019
IL,2/18/2021,12,169,73,201,32223,1731,201,0.681624926,206,21964,32223,0.079685126,201,1731,21723,0.05432804,201,1731,31862,23,201,12/31/2019
AZ,4/9/2021,25,98,3,123,17266,579,123,0.687941619,126,11878,17266,0.049593148,123,579,11675,0.034157277,123,579,16951,6,123,12/31/2019
OR,3/14/2020,0,0,0,1,94,4,1,0.882978723,1,83,94,0.048192771,1,4,83,0.042553191,1,4,94,0,1,12/31/2019
WA,1/29/2021,5,98,32,103,13698,873,103,0.726602424,105,9953,13698,0.088566501,103,873,9857,0.064356801,103,873,13565,7,103,12/31/2019
MT,8/22/2021,7,57,2,65,3174,239,65,0.660995589,66,2098,3174,0.114408808,65,239,2089,0.075969485,65,239,3146,3,65,12/31/2019
OH,4/6/2021,12,180,22,199,29717,1510,199,0.699061143,203,20774,29717,0.073357948,199,1510,20584,0.051364038,199,1510,29398,7,199,12/31/2019
AK,5/12/2021,2,22,0,24,1689,36,24,0.636471285,24,1075,1689,0.033488372,24,36,1075,0.021314387,24,36,1689,0,24,12/31/2019
MS,5/29/2021,6,100,3,106,8602,196,106,0.620088352,108,5334,8602,0.036967182,106,196,5302,0.02298042,106,196,8529,7,106,12/31/2019
UT,7/5/2021,1,43,0,52,5479,230,52,0.55429823,53,3037,5479,0.076794658,52,230,2995,0.042608373,52,230,5398,1,52,12/31/2019
GA,3/15/2021,31,108,30,150,20759,1768,150,0.742424972,153,15412,20759,0.115957237,150,1768,15247,0.086395622,150,1768,20464,13,150,12/31/2019
VI,2/27/2021,2,0,0,2,168,2,2,0.589285714,2,99,168,0.02020202,2,2,99,0.011904762,2,2,168,0,2,12/31/2019
WA,7/14/2021,12,91,15,103,13546,495,103,0.754761553,105,10224,13546,0.048922712,103,495,10118,0.036907247,103,495,13412,13,103,12/31/2019
CT,8/21/2021,0,35,4,39,8417,405,39,0.792325056,40,6669,8417,0.061345047,39,405,6602,0.048619448,39,405,8330,2,39,12/31/2019
ME,8/7/2021,1,29,0,38,3322,60,38,0.71974714,39,2391,3322,0.025445293,38,60,2358,0.018253727,38,60,3287,0,38,12/31/2019
PA,1/17/2021,32,191,73,223,33206,5347,223,0.784255857,229,26042,33206,0.206991329,223,5347,25832,0.162918952,223,5347,32820,102,223,12/31/2019
WV,9/1/2021,23,36,10,59,6397,748,59,0.775050805,63,4958,6397,0.153814518,59,748,4863,0.120450886,59,748,6210,6,59,12/31/2019
OH,6/18/2021,12,210,27,231,32454,729,231,0.721729217,235,23423,32454,0.031400758,231,729,23216,0.022677783,231,729,32146,4,229,12/31/2019
OR,1/19/2021,2,54,13,61,6800,429,61,0.700147059,63,4761,6800,0.092079845,61,429,4659,0.064608434,61,429,6640,6,61,12/31/2019
SC,6/11/2021,19,66,0,85,10724,150,85,0.771353972,87,8272,10724,0.018382353,85,150,8160,0.014204545,85,150,10560,4,85,12/31/2019
NM,5/10/2021,15,36,2,50,4261,161,50,0.642686424,51,2689,4184,0.061450382,50,161,2620,0.039499509,50,161,4076,0,50,12/31/2019
NC,1/24/2020,0,0,0,1,72,0,1,0.652777778,1,47,72,0,1,0,47,0,1,0,72,0,1,12/31/2019
KS,8/24/2021,15,121,3,140,8618,798,140,0.626595498,143,5400,8618,0.14921466,140,798,5348,0.093398876,140,798,8544,14,140,12/31/2019
VI,10/31/2020,1,1,0,2,168,3,2,0.595238095,2,100,168,0.03,2,3,100,0.017857143,2,3,168,0,2,12/31/2019
TN,8/9/2021,14,96,14,110,19861,1925,110,0.688238342,132,13283,19300,0.154209725,110,1925,12483,0.106054763,110,1925,18151,24,110,12/31/2019
ID,7/30/2021,4,39,0,52,3761,170,52,0.634937517,53,2388,3761,0.072278912,52,170,2352,0.045686643,52,170,3721,0,52,12/31/2019
OR,5/9/2021,4,54,10,63,6990,358,63,0.723891273,65,5060,6990,0.07213379,63,358,4963,0.052554316,63,358,6812,9,63,12/31/2019
PR,9/1/2021,6,58,13,64,9280,508,64,0.624030172,65,5791,9280,0.089832007,64,508,5655,0.055842585,64,508,9097,16,64,12/31/2019
WY,4/20/2021,3,25,0,28,1629,23,28,0.418661756,30,682,1629,0.034023669,28,23,676,0.014501892,28,23,1586,0,28,12/31/2019
MA,4/12/2021,8,70,4,78,16924,643,78,0.802174427,79,13576,16924,0.047739253,78,643,13469,0.038296605,78,643,16790,5,78,12/31/2019
TX,5/1/2021,110,474,63,590,68527,3117,590,0.703547507,595,48212,68527,0.065437827,590,3117,47633,0.046002627,590,3117,67757,17,590,12/31/2019
NC,7/27/2021,5,57,9,116,21879,1039,116,0.777275013,120,17006,21879,0.061790068,116,1039,16815,0.048077368,116,1039,21611,20,116,12/31/2019
